iter	Passed	Remaining
0	1	153
1	2	136
2	4	131
3	5	128
4	6	125
5	7	124
6	9	122
7	10	120
8	11	118
9	12	116
10	14	115
11	15	114
12	16	113
13	18	111
14	19	109
15	20	107
16	21	105
17	22	103
18	23	101
19	24	99
20	25	97
21	27	96
22	28	94
23	29	92
24	30	91
25	31	89
26	32	87
27	33	85
28	34	84
29	35	83
30	36	81
31	37	79
32	38	78
33	39	76
34	40	75
35	41	74
36	42	72
37	43	71
38	44	70
39	45	68
40	46	67
41	47	66
42	49	65
43	49	63
44	50	62
45	51	60
46	52	59
47	53	58
48	54	57
49	55	55
50	56	54
51	58	53
52	59	52
53	60	51
54	61	50
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	109	0
